target,id,text
positive,55,"$ 6 and there is much tasty food , all of it fresh and continually refilled ."
positive,56,"i am not a vegetarian but , almost all the dishes were great ."
positive,57,go hungry and enjoy .
Positive,58,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing ."
neutral,59,"the service varys from day to day - sometimes they ' re very nice , and sometimes not ."
negative,60,"the kitchen however , is almost always slow ."
positive,61,if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .
positive,62,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .
positive,63,the lava cake dessert was incredible and i recommend it .
positive,64,"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro ."
positive,65,"this tiny restaurant is as cozy as it gets , with that certain parisian flair ."
positive,66,the food was average to above - average 
positive,67,"however , go for the ambience , and consider the food just a companion for a trip across the world !"
negative,68,the pizza was delivered cold and the cheese was n ' t even fully melted !
negative,69,it looked like shredded cheese partly done - still in strips .
negative,70,this has got to be one of the most overrated restaurants in brooklyn .
negative,71,the pizza is overpriced and soggy .
negative,72,"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right ."
negative,73,"a big disappointment , all around ."
positive,74,i think i ' ve had some the best meals of my life at minnow .
positive,75,"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises ."
positive,76,the combination of super - fresh ingredients in the dishes are unusual but really delicious .
positive,77,worth the trip from manhattan .
positive,78,best pastrami i ever had and great portion without being ridiculous .
positive,79,my wife had the fried shrimp which are huge and loved it .
positive,80,"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place ."
positive,81,this place is the most japanese it can ever get .
positive,82,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese ."
positive,83,this place is worth an one - hour drive .
positive,84,"i am so coming back here again , as much as i can ."
positive,85,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere ."
positive,86,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story ."
positive,87,decent wine at reasonable prices .
positive,88,"our teenage kids love it , too ."
positive,89,"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori ."
positive,90,this is by far my favorite place in the neighborhood .
positive,91,"the service is excellent , the decor is great , and the food is delicious and comes in large portions ."
positive,92,i ' m partial to the gnocchi .
neutral,93,this place is incredibly tiny .
negative,94,they refuse to seat parties of 3 or more on weekends .
Negative,95,the hostess is rude to the point of being offensive .
negative,96,the food was bland oily .
negative,97,i just do n ' t understand all the hype . . .
Positive,98,"we have been to this place many times , and always have great food , wine , and service ."
positive,99,"we were worried we would have trouble getting in , but somehow managed to have a short wait ."
positive,100,as always we had a great glass of wine while we waited .
positive,101,"when we sat , we got great and fast service ."
positive,102,the people that work there are always so friendly you forget you are in new york sometimes .
positive,103,this is a fun restaurant to go to .
Positive,104,the pizza is yummy and i like the atmoshpere .
negative,105,but the pizza is way to expensive .
neutral,106,"a large is $ 20 , and toppings are about $ 3 each ."
Negative,107,i went there for lunch and it was not as good as i expected from the reviews i read .
Negative,108,sauce was watery and the food did n ' t have much flavor .
negative,109,i do n ' t think i would go again .
positive,110,this place is great .
positive,111,the waitress was very patient with us and the food is phenomenal !
positive,112,"service was prompt , friendly and great ."
positive,113,slightly on the pricey side but worth it !
positive,114,great pizza and fantastic service .
positive,115,"there was a small wait , but shorter than i expected ."
neutral,116,located at the end of a magnificent block .
positive,117,very cozy and warm inside . . . . .
positive,118,i will be back !
positive,119,this is the best sushi in new york city - hands down .
positive,120,the place is small and cramped but the food is fantastic .
positive,121,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too ."
positive,122,"with the great variety on the menu , i eat here often and never get bored ."
Negative,123,"the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down ."
positive,124,it ' s all about the food ! !
neutral,125,first it took us a long time to find the place .
negative,126,"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section ."
Negative,127,"those rolls were big , but not good and sashimi was n ' t fresh ."
Negative,128,"they were dry and disgusting , i did n ' t even finish my first piece ."
positive,129,hurley ' s is like cheers where everyone knows your name and they are actually glad you came .
positive,130,"try the crunchy tuna , it is to die for ."
positive,131,"try everything for that matter , it is all good ."
positive,132,i have been going there since it opened and i ca n ' t get enough .
positive,133,first went here to enjoy their garden terrace .
positive,134,"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed ."
positive,135,"the steak tartare is a great bet , they fix it for you at the table ."
positive,136,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm ."
positive,137,"great wine selection , gigondas is worth the price , and the house champagne is a great value ."
positive,138,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area ."
positive,139,"have recommended the place to friends , always gets good response ."
positive,140,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !"
positive,141,i take all my nyc guests to vt ' s .
positive,142,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !"
positive,143,i ' ve been there three times and have always had wonderful experiences .
positive,144,i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .
positive,145,i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .
Negative,146,even after they overcharged me the last time i was there .
positive,147,it ' s delicious !
Positive,148,"moules were excellent , lobster ravioli was very salty !"
Negative,149,"took my mom for mother ' s day , and the maitre d ' was pretty rude ."
Negative,150,"told us to sit anywhere , and when we sat he said the table was reserved ."
negative,151,stepped on my foot on the second time he reached over me to adjust lighting .
negative,152,tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .
positive,153,the drinks are always well made and wine selection is fairly priced .
positive,154,try their chef ' s specials - - they are to die for .
Neutral,155,"service is not exactly five star , but thats not really a big deal ."
positive,156,downstairs lounge is always a good attraction
positive,157,the exotic food is beautifully presented and is a delight in delicious combinations .
positive,158,it is also extremely well priced .
positive,159,the staff is incredibly helpful and attentive .
positive,160,the bar is very well stocked with interesting beers and well priced wines .
positive,161,this is one of my favorite restaurants and it is not to be missed .
positive,162,your friends will thank you for introducing them to this gem !
negative,163,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong ."
negative,164,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . ."
Negative,165,"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes ."
negative,166,such a disappointment . . .
Negative,167,"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one"
positive,168,i loved everythig about it - especially the shows and actors .
positive,169,our server was very helpful and friendly .
positive,170,the food was good too .
positive,171,the tuna and wasabe potatoes are excellent .
positive,172,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .
neutral,173,"inside is a little cramped , but to be expected ."
positive,174,service was prompt and courteous .
positive,175,this was a repeat visit and we ' ll definitely be back again .
positive,176,"great service , great food ."
neutral,177,prices are in line .
neutral,178,but too far east !
positive,179,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s ."
negative,180,"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu ."
negative,181,"also , because it is so thin , it gets cold very quickly and its not that filling ."
Negative,182,wait staff is blantently unappreciative of your business but its the best pie on the uws !
positive,183,by far the best salad i have had in a fast food restaurant .
positive,184,over 100 different choices to create your own .
positive,185,a must try !
positive,186,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt ."
positive,187,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater ."
positive,188,"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm ."
positive,189,"with so many poor experiences to be had in the theater district , is truly an excellent find !"
neutral,190,the staff is no nonsense .
positive,191,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .
positive,192,worth visiting the 1st ave spot because it is the original store .
positive,193,"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !"
positive,194,the sake menu should not be overlooked !
positive,195,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city ."
positive,196,try the lobster teriyaki and the rose special roll .
positive,197,"service was very good - prompt , attentive and non - intrusive ."
positive,198,"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) ."
positive,199,wine list selection is good and wine - by - the - glass was generously filled to the top .
Neutral,200,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .
positive,201,"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square ."
neutral,202,"to sum it up : service varies from good to mediorce , depending on which waiter you get "
neutral,203,"seating is always prompt , though the restaurant does fill up in the evening ."
positive,204,"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders ."
negative,205,"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time ."
positive,206,"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date ."
positive,207,i have never been disappointed in the red eye .
positive,208,"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad ."
positive,209,it ' s simply the best meal in nyc .
positive,210,you can not go wrong at the red eye grill .
positive,211,"if we were to move from the upper east side , we would genuinely miss this restaurant ."
neutral,212,the restaurant is cute but not upscale .
positive,213,the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .
positive,214,i would highly recommend it .
positive,215,it ' s one of our favorite places to eat in ny .
positive,216,we had a great time at the jekyll and hyde pub last night .
positive,217,after really enjoying ourselves at the bar we sat down at a table and had dinner .
positive,218,the server was really cool and served us our food and drinks with a smile .
positive,219,the place ' s decor and hidden bathrooms made for a good laugh .
positive,220,i highly recommend visiting this restaurant and having dinner and drinks !
positive,221,"if you are the type of person who likes being scared and entertained , this is a great place to go and eat ."
positive,222,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini ."
positive,223,the entertainment was great they have shows that go on through out the dinner .
positive,224,you will not be disapointed at all .
positive,225,we were not dissappointed in the least bit by this little gem .
positive,226,the bagel was huge .
positive,227,the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .
positive,228,i loved it and would highly recommend .
positive,229,this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .
positive,230,i have to highly recommend the lobster roll - not to much mayo 
positive,231,"other guests enjoyed pizza , santa fe chopped salad and fish and chips ."
positive,232,"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service ."
positive,233,all the staff is absolutely professional ! !
neutral,234,"( that is a must , but not every restaurant can do . . . )"
positive,235,"there ' s nice and quiet , small but enough for 6 ( or more ) ."
negative,236,this restaurant was way overhyped .
negative,237,my chow fun and chow see was really bland and oily .
Negative,238,okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .
negative,239,the scallion pancakes and fried dumplings were nothing out of the ordinary .
negative,240,the service was the only thing good about this restaurant .
negative,241,"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor ."
negative,242,i definitely would n ' t go back .
positive,243,their pad penang is delicious and everything else is fantastic .
Negative,244,the price is reasonable although the service is poor .
positive,245,"great for a romantic evening , or a fun evening with friends . . ."
positive,246,i will be going back very soon .
positive,247,keep up the good work .
positive,248,it was wonderful .
positive,249,"the salads are delicious , both refreshing and very spicy ."
positive,250,we had pam ' s special fried fish and it was amazing .
positive,251,too large for just two people but nothing was left .
positive,252,"great vibe , lots of people ."
Negative,253,"my husbands was perfect , my was well done and dry ."
positive,254,"i did n ' t complain , i liked the atmosphere so much ."
positive,255,on a hot day it was fabulous to stop in and enjoy lunch .
positive,256,"ambience is so cute and quaint , good for business although we were there on vacation ."
positive,257,salads were fantastic .
positive,258,although we were looking for regular lettuce and some walnuts the salads we got were great .
positive,259,ingredients are organic which is a real plus for me .
positive,260,we will be back .
positive,261,the spicy tuna roll is huge and probably the best that i ' ve had at this price range .
positive,262,the yellowtail was particularly good as well .
Negative,263,"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu ."
Positive,264,"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town ."
positive,265,big wong gets big ups for a fine establishment .
positive,266,"they have it all - - great price , food , and service ."
negative,267,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .
positive,268,the food is prepared quickly and efficiently .
positive,269,"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) ."
positive,270,the takeout is great too since they give high quality tupperware as well .
positive,271,enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .
positive,272,we both opted for a pasta dish and they were served timely and fresh .
positive,273,"we concluded with tiramisu chocolate cake , both were delicious ."
positive,274,we ' d go back again
positive,275,i recently went to this restaurant with some co - workers for lunch and had an amazing time .
positive,276,"the staff was accomodating , the food was absolutely delicious and the place is lovely ."
positive,277,we even had a visit from the manager who wanted to make sure we were enjoying ourselves .
positive,278,"yes , the prices are high , but i felt it was worth it ."
positive,279,we all felt it was worth it .
Neutral,280,sometimes i get good food and ok service .
Neutral,281,"sometimes i get bad food and bad service , sometimes i get good good and bad service ."
negative,282,it is not consistent .
neutral,283,the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .
negative,284,and where does patis go wrong 
positive,285,"you are not eating haut cuisine with subtle hints of whatever but : cassuolet , steake fritte , tripe stew , etc "
positive,286,right off the l in brooklyn this is a nice cozy place with good pizza .
positive,287,mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .
positive,288,my friend got the mushroom pizza which tasted better .
positive,289,the sangria was pretty tasty and good on a hot muggy day .
neutral,290,kind of a small place but i guess if they are not too busy might be able to fit a group or kids .
positive,291,overall i would recommend it and go back again .
positive,292,i started out with a bombay beer which was big enough for two .
positive,293,mmmmm . . . it was delicious .
positive,294,"service was slow , but the people were friendly ."
positive,295,it ' s a nice place to relax and have conversation .
positive,296,i ca n ' t wait to go back .
positive,297,the food is authentic italian - delicious !
positive,298,"pizza is terrific , as is homemade pasta ."
positive,299,"ambience is delightful , service impeccable ."
Negative,300,service was also horrible and the ambience is not that great .
negative,301,do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .
positive,302,i go and eat out at many different restaurants and this is one place you have go and try .
positive,303,this is my first time writing a review for a restaurant because the food and service was excellent .
positive,304,the filet mignon dish was superb !
positive,305,i would defiantly come back here again as one of my top choices .
positive,306,it ' s a small cute restaurant .
positive,307,i absolutely love this place ! ! !
positive,308,"i like the ambience , it ' s very dark and original ."
positive,309,the sushi is amazing ! ! !
positive,310,and amazingly cheap .
positive,311,very affordable and excellent ambient !
Negative,312,we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .
negative,313,we were very disappointed .
negative,314,we wo n ' t go to this place again for a good meal .
positive,315,"however , i think this place is a good hang out spot ."
positive,316,my girlfriend and i stumbled onto this hopping place the other night and had a great time !
positive,317,"they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it ."
positive,318,check this place out !
positive,319,highly recommended ! ! ! ! !
negative,320,"first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review ."
negative,321,"either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th ."
negative,322,"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced ."
Neutral,323,slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .
negative,324,service is not what one would expect from a joint in this price category .
Negative,325,"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . ."
negative,326,somehow working the italian charm with constant mille grazie does not constitute proper service .
Negative,327,"to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of teodora ."
Negative,328,not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .
negative,329,fish was overdone .
negative,330,"cute place , nice wait staff but would never go there again ."
negative,331,someone else recommended the dessert - we also left that .
negative,332,one of us actually liked the expresso - that ' s it .
Negative,333,"skip this restaurant , it ' s a big disappointment ."
positive,334,myagi is one of my favorite restaurants in the city 
positive,335,i ' ve never had bad service and the fish is fresh and delicious .
positive,336,their tuna tartar appetizer is to die for .
positive,337,"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away ."
positive,338,the place is so cool and the service is prompt and curtious .
positive,339,i highly recommend to anyone to give this place a try .
positive,340,you will find yourself returning quite often .
positive,341,a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .
positive,342,no gimmicks here - - the food speaks for itself in its freshness and preparation .
positive,343,the dining room is quietly elegant with no music to shout over - - how refreshing !
positive,344,"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs ."
positive,345,"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen ."
positive,346,the view is breathtaking the service is top notch . . . the ambiance is wonderful .
positive,347,the staff offers impeccable service .
positive,348,i had lobster bisque it has 2 oz . of maine lobster in it .
positive,349,my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .
positive,350,it was divine melts in your mouth .
positive,351,my boyfriend had prime rib it was good .
positive,352,we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .
positive,353,it ' s cuz it ' s so good you need to taste it ! ! !
positive,354,all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !
positive,355,my wife and i ate here earlier this week and have not stopped ranting and raving about the food .
positive,356,if you like spicy food get the chicken vindaloo .
positive,357,it ' s very spicy but not offensive .
positive,358,we will definitely go back .
positive,359,go to volare for 1st class service and terrific food .
positive,360,the portions are large and the servers always surprise us with a different starter .
positive,361,the wine list is excellent .
positive,362,the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .
positive,363,"the place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion ."
positive,364,the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .
neutral,365,please be aware that it ' s cash or amex only !
Negative,366,"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great ."
negative,367,"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat ."
neutral,368,"the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse ."
negative,369,problem is nothing at prune is particularly memorable .
negative,370,no plans to return anytime soon .
positive,371,this place is so much fun .
positive,372,our family never expected such incredible entertainment in a restaurant .
positive,373,our food was great too !
positive,374,and really large portions .
positive,375,the staff was the friendliest that have seen in new york .
positive,376,if you want something really different than try jekyll and hyde .
positive,377,it is a lot of fun with live entertainment and all kinds of disney type special effects .
positive,378,the food was pretty tradional but it was hot and good with large portions .
positive,379,i highly recommend it .
positive,380,the place is a lot of fun .
positive,381,my six year old loved it .
neutral,382,"the food however , is what one might expect ."
Negative,383,it is very overpriced and not very tasty .
negative,384,went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .
negative,385,service was slow had to wait to order and get food although not crowded .
negative,386,drinks way over priced .
Negative,387,food was good not great not worth the wait or another visit
positive,388,great pizza for lunch place .
positive,389,service was quick .
positive,390,the pizza was great .
positive,391,and it was quick which is very important .
neutral,392,have the iced tea .
Positive,393,"whenever you need a sushi fix , mizu will be there with quality fish and great service ."
positive,394,delivery is fast too .
positive,395,"great friendly service , fast seating , fast delivery , excellent sushi ."
positive,396,ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .
positive,397,"the bagels always warm , soft on the inside , crispy on the outside and enormous in size ."
positive,398,they have a huge selection of different cream cheeses and all of their salads are great .
positive,399,the lox is always fresh too .
positive,400,highly recommended to all !
negative,401,not impressed with the food .
negative,402,prices too high for this cramped and unappealing resturant .
negative,403,zero ambiance to boot .
negative,404,i thought this place was totally overrated .
Neutral,405,everything we had was good or ok . . . . but definitely nothing great .
Negative,406,"the ambience was nice , but service was n ' t so great ."
Negative,407,"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices ."
positive,408,this is the best shabu - shabu restaurant in the try - state area .
positive,409,thius is a must for anyone who loves shabu - shabu .
positive,410,"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo ."
positive,411,the owner and staff are all japanese as well and that adds to the entire ambiance .
positive,412,"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art ."
neutral,413,i must give it yon out of yon stars !
positive,414,taxan delicious !
positive,415,"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !"
neutral,416,we were n ' t !
positive,417,the prices were cheap compared to the quality of service and food .
positive,418,"we liked it so much , that we will always make it a point to dine here when we visit new york ."
positive,419,the location and ambience is ok but the food is what makes up for it .
positive,420,there is a lot of variety even for people who eat vegetarian like me .
neutral,421,try green curry with vegetables .
positive,422,"the quantity is also very good , you will come out satisfied ."
Negative,423,"the service is ok , some of the people did n ' t get what they asked for ."
positive,424,i was there on sat . for my birthday and we had an excellent time .
positive,425,i had the best ravioli ever .
positive,426,the wine the service was very good too .
neutral,427,moderate prices .
neutral,428,a little noise but i think that was because of our party !
positive,429,this quaint and romantic trattoria is at the top of my manhattan restaurant list .
positive,430,"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment ."
positive,431,"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite ."
positive,432,"although the tables may be closely situated , the candle - light , food - quality and service overcompensate ."
positive,433,a guaranteeed delight !
positive,434,"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices ."
positive,435,"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious ."
positive,436,i pray it stays open forever .
positive,437,"i found the food , service and value exceptional everytime i have been there ."
positive,438,i felt as though i were eating in paris .
positive,439,the service was excellent - friendly and attentive .
positive,440,the prices are wonderfully low .
positive,441,very good wine choices .
positive,442,who has room for cheesesticks with the best pizza in nyc !
positive,443,get the pepperoni - yum - and a family style salad .
positive,444,great staff .
positive,445,always great service !
positive,446,i go twice a month !
positive,447,"the food is good , i ca n ' t lie ."
Negative,448,the hostess and the waitress were incredibly rude and did everything they could to rush us out .
Negative,449,we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .
positive,450,"this place is pricey , and yes , the food is worth it "
negative,451,save yourself the time and trouble and skip this one !
negative,452,amma is nothing special .
Negative,453,i ate here a week ago and found most dishes average at best and too expensive .
negative,454,will not be back .
negative,455,"do n ' t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections ."
neutral,456,this place is always packed .
positive,457,"most importantly , food is excellent ."
neutral,458,try the sea bass .
positive,459,highly recommended .
positive,460,first of all dal bukhara rocks .
positive,461,i am happy i did the food was awsome .
positive,462,and yes dal bukhara is so dam good and so are all the kababs .
positive,463,but overall i give it a 10
Neutral,464,10
negative,465,haru on park s is simply disgusting .
Negative,466,the fish was not fresh and the rice tasted old and stale .
negative,467,"quite frankly , this is some of the worst sushi i have ever tried ."
negative,468,will never be back .
negative,469,honestly the worst sushi my husband and i had in our entire lives .
negative,470,not sure why this restaurant would be rated that highly .
negative,471,the all - u - can - eat sushi is definitely in very poor quality .
negative,472,wont come back again for sure !
negative,473,"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish ."
positive,474,the waitstaffs are nice though .
Negative,475,i have been to roth ' s twice and both times were very disappointing .
negative,476,"both times i was extremely dissappointed by the service , which was boarderline rude ."
Negative,477,they wouldnt even let me finish my glass of wine before offering another .
negative,478,much of the time it seems like they do not care about you .
Negative,479,"the dinner was ok , nothing i would have again ."
positive,480,this was a great surprise .
positive,481,i look forward to eating here again
positive,482,planet thai is great !
positive,483,"we love the food , drinks , and atmosphere !"
Negative,484,"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !"
positive,485,"try the pad thai , it ' s fabulous and their prices are so cheap !"
positive,486,"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !"
Negative,487,"they forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter ."
